SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL_RAINFALL,JUN-SEP,MAR-MAY,OCT-DEC,JAN-FEB,CLOUD_COVERAGE,FLOODS
GUJARAT REGION,1935,13.1,6.5,33.6,30.3,17.9,107.1,435.0,253.3,144.1,60.8,9.8,9.4,1120.9,939.5,81.8,80.0,19.6,77.8,1
JAMMU & KASHMIR,2005,35.3,55.9,95.8,34.6,85.0,175.5,221.0,194.8,96.2,21.4,18.5,29.7,1063.7,687.5,215.4,69.6,91.2,57.6,0
COASTAL ANDHRA PRADESH,1986,11.1,0.0,8.9,29.4,39.3,26.2,17.8,77.1,39.8,253.2,308.2,47.1,858.1,160.9,77.6,608.5,11.1,46.3,0
EAST MADHYA PRADESH,1943,5.1,18.2,0.0,2.7,22.6,69.4,227.7,328.3,189.2,99.9,17.0,14.0,994.1,814.6,25.3,130.9,23.3,49.3,0
GANGETIC WEST BENGAL,2010,4.3,1.8,3.9,32.5,153.4,350.9,210.3,448.5,236.5,127.3,54.2,17.2,1640.8,1246.2,189.8,198.7,6.1,62.5,1
TAMIL NADU,1933,0.0,4.2,12.9,15.2,46.7,41.5,53.3,57.2,106.7,230.9,191.0,190.5,950.1,258.7,74.8,612.4,4.2,65.5,0
EAST UTTAR PRADESH,1914,12.2,13.9,24.5,23.4,20.8,171.7,177.1,268.7,177.7,53.8,13.7,0.0,957.5,795.2,68.7,67.5,26.1,65.1,0
RAYALSEEMA,2001,4.5,0.9,10.1,3.7,24.7,60.7,87.7,171.0,24.2,24.2,7.0,1.7,420.4,343.6,38.5,32.9,5.4,52.3,0
WEST MADHYA PRADESH,1932,9.7,14.1,13.7,29.7,41.9,45.1,397.4,127.0,252.3,93.8,4.1,5.5,1034.3,821.8,85.3,103.4,23.8,62.0,0
BIHAR,1937,6.2,18.2,28.1,36.7,21.6,137.4,128.5,195.5,247.5,108.5,2.7,4.4,935.3,708.9,86.4,115.6,24.4,77.1,0
ANDAMAN & NICOBAR ISLANDS,1931,17.9,25.1,17.9,49.6,354.6,350.7,327.6,357.9,341.2,220.4,164.5,136.0,2363.4,1377.4,422.1,520.9,43.0,73.7,1
WEST RAJASTHAN,1987,4.4,4.9,1.6,8.5,4.2,58.2,251.6,27.8,44.5,8.2,2.7,5.0,421.6,382.1,14.3,15.9,9.3,63.8,0
MATSHYA PRADESH,1946,0.7,8.0,5.7,14.3,17.9,20.4,93.9,122.6,81.3,23.6,0.9,0.6,389.9,318.2,37.9,25.1,8.7,62.2,0
LAKSHADWEEP,1937,19.6,25.5,31.8,69.0,466.4,521.8,308.6,139.2,282.1,256.1,158.3,148.9,2427.3,1251.7,567.2,563.3,45.1,66.0,1
COASTAL ANDHRA PRADESH,1917,20.2,15.2,17.2,24.8,1.9,38.4,157.6,36.4,27.4,335.5,374.2,129.4,1178.2,259.8,43.9,839.1,35.4,62.3,0
KERALA,1951,4.6,8.8,26.9,7.5,124.8,668.7,832.6,548.8,161.5,168.2,24.4,1.4,2578.2,2211.6,159.2,194.0,13.4,72.7,1
CHHATTISGARH,1913,13.3,18.3,15.8,33.0,51.4,228.5,232.5,341.1,194.8,111.8,13.8,5.9,1260.2,996.9,100.2,131.5,31.6,71.8,0
JAMMU & KASHMIR,1937,71.7,84.6,68.7,53.4,44.4,76.4,173.2,298.3,178.2,2.9,26.0,58.2,1136.0,726.1,166.5,87.1,156.3,71.7,0
LAKSHADWEEP,2002,23.1,17.4,46.8,50.1,282.1,359.1,360.6,291.9,250.2,188.9,232.4,58.0,2160.6,1261.8,379.0,479.3,40.5,92.9,1
SAURASHTRA & KUTCH,1993,7.5,6.1,0.0,9.3,29.8,38.0,149.9,66.0,55.9,25.9,4.7,5.6,398.7,309.8,39.1,36.2,13.6,57.7,0
HIMACHAL PRADESH,1950,81.1,86.8,65.9,67.4,21.1,123.3,190.9,292.3,40.0,39.4,18.4,15.8,1042.4,646.5,154.4,73.6,167.9,50.8,0
GUJARAT REGION,1949,4.2,12.1,24.6,7.6,17.1,217.5,255.4,197.8,231.0,45.4,25.3,4.0,1042.0,901.7,49.3,74.7,16.3,75.9,0
HARYANA DELHI & CHANDIGARH,1983,3.3,8.0,4.7,17.9,30.7,16.8,146.1,67.3,65.7,15.7,0.8,5.1,382.1,295.9,53.3,21.6,11.3,41.5,0
